stack_index,layer_name,content_resource,mask_resource,source_x,source_y,source_width,source_height,face_x,face_y,face_width,face_height,visible,locked,anatomical_side,canonical_slot,canonical_semantic_state,source_candidate,classification,confidence,direct_generic_reuse,reason
10,20_UPPER_FACE_LEFT_BROW_FURROW_OUTER_WRINKLE_01,780c95ce4935.png,,1604,811,326,252,585,312,326,252,false,false,LEFT,BROW_L,,FURROW_OUTER_WRINKLE,future_variant,unresolved,PROHIBITED,Source-only brow candidate outside the frozen v0.1 catalog.
11,20_UPPER_FACE_LEFT_BROW_LOW_FLAT_02,b045b4e740cc.png,,1612,832,275,241,593,333,275,241,false,false,LEFT,BROW_L,LOW_FLAT,,semantic_alternate,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
12,20_UPPER_FACE_LEFT_BROW_LOW_HEAVY_01,f6a98ba64f1d.png,,1612,812,276,274,593,313,276,274,false,false,LEFT,BROW_L,LOW_HEAVY,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
13,20_UPPER_FACE_LEFT_BROW_FURROW_OUTER_WRINKLE_02,111d8f06441f.png,,1608,805,299,267,589,306,299,267,false,false,LEFT,BROW_L,,FURROW_OUTER_WRINKLE,future_variant,unresolved,PROHIBITED,Source-only brow candidate outside the frozen v0.1 catalog.
14,20_UPPER_FACE_LEFT_BROW_ARCHED_TALL_02,0ee7b2304046.png,,1556,813,363,274,537,314,363,274,false,false,LEFT,BROW_L,ARCHED_TALL,,semantic_alternate,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
15,30_UPPER_FACE_RIGHT_BROW_FURROW_CENTER_DEEP_01,bacfb05b4c2b.png,,1372,795,297,281,353,296,297,281,false,false,RIGHT,BROW_R,FURROW_CENTER_DEEP,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
16,30_UPPER_FACE_RIGHT_BROW_FURROW_ANGLED_01,6aed8f484276.png,,1366,804,328,307,347,305,328,307,false,false,RIGHT,BROW_R,,FURROW_ANGLED,future_variant,unresolved,PROHIBITED,Source-only brow candidate outside the frozen v0.1 catalog.
17,30_UPPER_FACE_RIGHT_BROW_ANGRY_ARCHED_01,f25498e24ed5.png,,1347,819,357,287,328,320,357,287,false,false,RIGHT,BROW_R,ANGRY_ARCHED,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
18,30_UPPER_FACE_RIGHT_BROW_LOW_FLAT_01,71e6a5244db6.png,,1368,940,298,135,349,441,298,135,false,false,RIGHT,BROW_R,LOW_FLAT,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
19,30_UPPER_FACE_RIGHT_BROW_FURROW_ANGLED_02,f33788c242b2.png,,1323,789,371,327,304,290,371,327,false,false,RIGHT,BROW_R,,FURROW_ANGLED,future_variant,unresolved,PROHIBITED,Source-only brow candidate outside the frozen v0.1 catalog.
20,30_UPPER_FACE_RIGHT_BROW_NEUTRAL_WRINKLED_01,3b8b8b1d48a0.png,,1340,764,337,324,321,265,337,324,false,false,RIGHT,BROW_R,NEUTRAL,,semantic_exemplar,low,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
21,30_UPPER_FACE_RIGHT_BROW_NEUTRAL_WRINKLED_02,259aa6f0435d.png,,1308,767,384,319,289,268,384,319,false,false,RIGHT,BROW_R,NEUTRAL,,semantic_alternate,low,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
22,30_UPPER_FACE_RIGHT_BROW_ARCHED_TALL_01,3cd88cde492c.png,,1379,820,273,296,360,321,273,296,false,false,RIGHT,BROW_R,ARCHED_TALL,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
23,30_UPPER_FACE_RIGHT_BROW_FURROW_OUTER_WRINKLE_01,7799b1f44119.png,,1365,833,301,230,346,334,301,230,false,false,RIGHT,BROW_R,,FURROW_OUTER_WRINKLE,future_variant,unresolved,PROHIBITED,Source-only brow candidate outside the frozen v0.1 catalog.
24,30_UPPER_FACE_RIGHT_BROW_LOW_HEAVY_01,e39b97e04014.png,,1393,836,245,239,374,337,245,239,false,false,RIGHT,BROW_R,LOW_HEAVY,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
25,30_UPPER_FACE_RIGHT_BROW_LOW_HEAVY_02,5608b3eb4175.png,,1365,794,300,303,346,295,300,303,false,false,RIGHT,BROW_R,LOW_HEAVY,,semantic_alternate,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
26,30_UPPER_FACE_RIGHT_BROW_FURROW_OUTER_WRINKLE_02,5b169664410c.png,,1393,865,254,217,374,366,254,217,false,false,RIGHT,BROW_R,,FURROW_OUTER_WRINKLE,future_variant,unresolved,PROHIBITED,Source-only brow candidate outside the frozen v0.1 catalog.
27,30_UPPER_FACE_RIGHT_BROW_FURROW_OUTER_WRINKLE_03,322e8b22462a.png,,1383,886,298,178,364,387,298,178,false,false,RIGHT,BROW_R,,FURROW_OUTER_WRINKLE,future_variant,unresolved,PROHIBITED,Source-only brow candidate outside the frozen v0.1 catalog.
28,40_EYE_LEFT_SHUT_TIGHT_01,bb8ea4934937.png,,1659,991,224,151,640,492,224,151,false,false,LEFT,EYE_L,,SPECIAL_SHUT_TIGHT,reference_only,unresolved,PROHIBITED,SHUT_TIGHT is reference-only; CLOSED_TIGHT is the frozen canonical state.
29,50_EYE_RIGHT_SHUT_TIGHT_01,04efb7034004.png,,1396,1000,224,151,377,501,224,151,false,false,RIGHT,EYE_R,,SPECIAL_SHUT_TIGHT,reference_only,unresolved,PROHIBITED,SHUT_TIGHT is reference-only; CLOSED_TIGHT is the frozen canonical state.
30,60_EYE_LEFT_CLOSED_TIGHT_01,9f279af94d5c.png,,1642,999,252,145,623,500,252,145,false,false,LEFT,EYE_L,CLOSED_TIGHT,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
31,65_EYE_RIGHT_CLOSED_TIGHT_01,8d0aa858457a.png,,1412,990,230,176,393,491,230,176,false,false,RIGHT,EYE_R,CLOSED_TIGHT,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
32,60_EYE_LEFT_SQUINT_TIGHT_01,3b6dbd0c4265.png,,1680,1020,177,93,661,521,177,93,false,false,LEFT,EYE_L,SQUINT_TIGHT,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
33,65_EYE_RIGHT_SQUINT_TIGHT_01,271aadd1439e.png,,1412,1021,193,88,393,522,193,88,false,false,RIGHT,EYE_R,SQUINT_TIGHT,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
34,60_EYE_LEFT_WIDE_OPEN_ALERT_01,c3fd970e4ae0.png,,1675,1029,165,87,656,530,165,87,false,false,LEFT,EYE_L,WIDE_OPEN_ALERT,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
35,65_EYE_RIGHT_WIDE_OPEN_ALERT_01,0e2fb0b34c14.png,,1403,1032,224,91,384,533,224,91,false,false,RIGHT,EYE_R,WIDE_OPEN_ALERT,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
36,60_EYE_LEFT_OPEN_NEUTRAL_01,435b84f649b2.png,,1657,1029,198,80,638,530,198,80,false,false,LEFT,EYE_L,OPEN_NEUTRAL,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
37,65_EYE_RIGHT_OPEN_NEUTRAL_01,ca37a89a4598.png,,1446,1028,153,81,427,529,153,81,false,false,RIGHT,EYE_R,OPEN_NEUTRAL,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
38,60_EYE_LEFT_HALF_LID_01,3505b1204405.png,,1649,887,243,255,630,388,243,255,false,false,LEFT,EYE_L,HALF_LID,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
39,65_EYE_RIGHT_HALF_LID_01,9b558e0e4d2b.png,,1352,942,297,205,333,443,297,205,false,false,RIGHT,EYE_R,HALF_LID,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
40,60_EYE_LEFT_SIDE_LOOK_01,45508e8143f7.png,,1654,1012,215,110,635,513,215,110,false,false,LEFT,GAZE_L,,SIDE_LOOK_01,reference_only,unresolved,PROHIBITED,Baked eye/gaze composite has no proven direction; transform gaze is canonical.
41,65_EYE_RIGHT_SIDE_LOOK_01,e1298f4946d9.png,,1398,1021,222,103,379,522,222,103,false,false,RIGHT,GAZE_R,,SIDE_LOOK_01,reference_only,unresolved,PROHIBITED,Baked eye/gaze composite has no proven direction; transform gaze is canonical.
42,60_EYE_LEFT_SIDE_LOOK_02,b17b927d4ce8.png,,1639,1017,225,115,620,518,225,115,true,false,LEFT,GAZE_L,,SIDE_LOOK_02,reference_only,unresolved,PROHIBITED,Baked eye/gaze composite has no proven direction; transform gaze is canonical.
43,65_EYE_RIGHT_SIDE_LOOK_02,51e4b4af4bbb.png,,1392,1010,247,124,373,511,247,124,false,false,RIGHT,GAZE_R,,SIDE_LOOK_02,reference_only,unresolved,PROHIBITED,Baked eye/gaze composite has no proven direction; transform gaze is canonical.
44,60_EYE_LEFT_SIDE_LOOK_03,58dfb1314c8d.png,,1658,1004,197,110,639,505,197,110,false,false,LEFT,GAZE_L,,SIDE_LOOK_03,reference_only,unresolved,PROHIBITED,Baked eye/gaze composite has no proven direction; transform gaze is canonical.
45,65_EYE_RIGHT_SIDE_LOOK_03,dfa780604d2f.png,,1429,1006,207,107,410,507,207,107,false,false,RIGHT,GAZE_R,,SIDE_LOOK_03,reference_only,unresolved,PROHIBITED,Baked eye/gaze composite has no proven direction; transform gaze is canonical.
46,60_EYE_LEFT_SIDE_LOOK_04,82cb8c844c57.png,,1624,1007,207,107,605,508,207,107,false,false,LEFT,GAZE_L,,SIDE_LOOK_04,reference_only,unresolved,PROHIBITED,Baked eye/gaze composite has no proven direction; transform gaze is canonical.
47,65_EYE_RIGHT_SIDE_LOOK_04,7d39bdc845d1.png,,1405,1005,197,110,386,506,197,110,true,false,RIGHT,GAZE_R,,SIDE_LOOK_04,reference_only,unresolved,PROHIBITED,Baked eye/gaze composite has no proven direction; transform gaze is canonical.
48,70_LOWER_FACE_LAUGH_WIDE_OPEN_01,9ac89b3e404e.png,,1420,1070,464,520,401,571,464,520,false,false,,LOWER_FACE,LAUGH_WIDE_OPEN,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
49,70_LOWER_FACE_SMILE_CLOSED_01,3997a90e4d65.png,,1420,1045,446,412,401,546,446,412,false,false,,LOWER_FACE,SMILE_CLOSED,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
50,70_LOWER_FACE_GRIMACE_FEAR_01,aaa4b09248a0.png,,1394,1023,489,511,375,524,489,511,false,false,,LOWER_FACE,GRIMACE_FEAR,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
51,70_LOWER_FACE_SMILE_CLOSED_02,236981054e01.png,,1394,1093,427,318,375,594,427,318,false,false,,LOWER_FACE,SMILE_CLOSED,,semantic_alternate,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
52,70_LOWER_FACE_SMILE_TEETH_01,ab4589104a5d.png,,1409,1097,451,397,390,598,451,397,false,false,,LOWER_FACE,SMILE_TEETH,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
53,70_LOWER_FACE_FROWN_POUT_01,ba32ab2c4cee.png,,1460,1074,371,360,441,575,371,360,false,false,,LOWER_FACE,FROWN_POUT,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
54,70_LOWER_FACE_FROWN_TENSE_01,128785a04572.png,,1393,1065,440,368,374,566,440,368,false,false,,LOWER_FACE,FROWN_TENSE,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
55,70_LOWER_FACE_SHOUT_OPEN_01,9f449f644fe0.png,,1434,1000,402,584,415,501,402,584,false,false,,LOWER_FACE,SHOUT_OPEN,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
56,70_LOWER_FACE_MOUTH_OPEN_SMALL_01,1e04b9164f7a.png,,1398,1005,455,520,379,506,455,520,false,false,,LOWER_FACE,MOUTH_OPEN_SMALL,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
57,70_LOWER_FACE_SMILE_CLOSED_03,a420aade41f8.png,,1458,1048,379,374,439,549,379,374,true,false,,LOWER_FACE,SMILE_CLOSED,,semantic_alternate,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
58,70_LOWER_FACE_SMILE_CLOSED_04,627d9ffc49d3.png,,1399,1093,499,371,380,594,499,371,false,false,,LOWER_FACE,SMILE_CLOSED,,semantic_alternate,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
59,70_LOWER_FACE_MOUTH_OPEN_SOFT_01,0f4ba937424e.png,,1445,1106,419,356,426,607,419,356,false,false,,LOWER_FACE,MOUTH_OPEN_SOFT,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
60,70_LOWER_FACE_SMILE_TEETH_02,70dda5d045bb.png,,1403,1040,464,424,384,541,464,424,false,false,,LOWER_FACE,SMILE_TEETH,,semantic_alternate,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
61,70_LOWER_FACE_NEUTRAL_CLOSED_01,ee2f9a5f430c.png,,1445,1034,378,348,426,535,378,348,false,false,,LOWER_FACE,NEUTRAL_CLOSED,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
